Comentario,Sentimiento,Profesor
Es destacable cómo fomenta la participación porque es muy dinámico.,positivo,Miguel
Es motivador cuando tiene un gran dominio del tema porque es muy dedicado.,positivo,Julián
Valoro que usa buenos ejemplos porque es muy entusiasta.,positivo,David
Me ayuda mucho que inspira a mejorar porque es muy claro.,positivo,Julián
Lo mejor de sus clases es que tiene un gran dominio del tema porque es muy comprensivo.,positivo,Omar
Me parece genial que utiliza recursos útiles porque es muy inspirador.,positivo,Ulises
Nunca deja de sorprenderme cómo apoya el desarrollo personal porque es muy claro.,positivo,Miguel
Es increíble cómo explica muy bien porque es muy organizado.,positivo,Julián
Siempre me impresiona cómo siempre está disponible para ayudar porque es muy paciente.,positivo,Ulises
Disfruto cuando tiene un gran dominio del tema porque es muy dinámico.,positivo,Julián
Nunca deja de sorprenderme cómo tiene una gran actitud porque es muy dinámico.,positivo,Aldo
Una de las mejores cosas es que tiene una gran actitud porque es muy puntual.,positivo,Julián
Siempre me impresiona cómo tiene una gran actitud porque es muy claro.,positivo,Omar
Me ayuda mucho que tiene un gran dominio del tema porque es muy respetuoso.,positivo,Omar
Es destacable cómo utiliza recursos útiles porque es muy inspirador.,positivo,Julián
Lo mejor de sus clases es que tiene un gran dominio del tema porque es muy comprometido.,positivo,Ulises
Es muy admirable que tiene una gran actitud porque es muy sabio.,positivo,Julián
Nunca deja de sorprenderme cómo apoya el desarrollo personal porque es muy entusiasta.,positivo,Miguel
Siempre me impresiona cómo tiene un gran dominio del tema porque es muy comprometido.,positivo,Miguel
Me parece genial que inspira a mejorar porque es muy dinámico.,positivo,Omar
Me encanta que responde todas las dudas porque es muy inspirador.,positivo,David
Valoro que fomenta la participación porque es muy sabio.,positivo,Ulises
Una de las mejores cosas es que utiliza recursos útiles porque es muy claro.,positivo,Omar
Me gusta mucho cómo explica muy bien porque es muy comprometido.,positivo,Omar
Es increíble cómo utiliza recursos útiles porque es muy dedicado.,positivo,Aldo
Valoro que responde todas las dudas porque es muy comprometido.,positivo,David
Nunca deja de sorprenderme cómo apoya el desarrollo personal porque es muy puntual.,positivo,Ulises
Es muy admirable que responde todas las dudas porque es muy claro.,positivo,David
Es motivador cuando hace las clases interesantes porque es muy amable.,positivo,Miguel
Me encanta que tiene un gran dominio del tema porque es muy claro.,positivo,David
Aprecio mucho que hace las clases interesantes porque es muy amable.,positivo,Aldo
Me ayuda mucho que se preocupa por sus alumnos porque es muy puntual.,positivo,Omar
Aprecio mucho que mantiene la clase activa porque es muy puntual.,positivo,Ulises
Me encanta que explica muy bien porque es muy respetuoso.,positivo,Julián
Es muy admirable que tiene un gran dominio del tema porque es muy paciente.,positivo,Omar
Una de las mejores cosas es que responde todas las dudas porque es muy puntual.,positivo,Miguel
Es muy admirable que usa buenos ejemplos porque es muy dedicado.,positivo,Miguel
Disfruto cuando responde todas las dudas porque es muy paciente.,positivo,Ulises
Es destacable cómo responde todas las dudas porque es muy respetuoso.,positivo,Ulises
Una de las mejores cosas es que tiene una gran actitud porque es muy dedicado.,positivo,Aldo
Una de las mejores cosas es que hace las clases interesantes porque es muy paciente.,positivo,Omar
Me parece genial que tiene un gran dominio del tema porque es muy puntual.,positivo,Julián
Me parece genial que transmite confianza porque es muy sabio.,positivo,Aldo
Nunca deja de sorprenderme cómo motiva a aprender porque es muy sabio.,positivo,Julián
Disfruto cuando explica muy bien porque es muy respetuoso.,positivo,Miguel
Una de las mejores cosas es que tiene un gran dominio del tema porque es muy dedicado.,positivo,Aldo
Es motivador cuando explica muy bien porque es muy entusiasta.,positivo,Julián
Una de las mejores cosas es que tiene un gran dominio del tema porque es muy paciente.,positivo,David
Siempre me impresiona cómo responde todas las dudas porque es muy sabio.,positivo,Miguel
Es destacable cómo apoya el desarrollo personal porque es muy excelente.,positivo,Omar
Es motivador cuando hace las clases interesantes porque es muy organizado.,positivo,Miguel
Disfruto cuando usa buenos ejemplos porque es muy respetuoso.,positivo,Julián
Disfruto cuando se preocupa por sus alumnos porque es muy respetuoso.,positivo,Julián
Me parece genial que transmite confianza porque es muy amable.,positivo,Miguel
Me encanta que hace las clases interesantes porque es muy creativo.,positivo,Ulises
Me gusta mucho cómo tiene un gran dominio del tema porque es muy amable.,positivo,David
Es motivador cuando motiva a aprender porque es muy dinámico.,positivo,Miguel
Lo mejor de sus clases es que apoya el desarrollo personal porque es muy amable.,positivo,Ulises
Me ayuda mucho que se preocupa por sus alumnos porque es muy amable.,positivo,David
Lo mejor de sus clases es que motiva a aprender porque es muy paciente.,positivo,David
Valoro que responde todas las dudas porque es muy dedicado.,positivo,Omar
Valoro que tiene una gran actitud porque es muy inspirador.,positivo,Ulises
Disfruto cuando hace las clases interesantes porque es muy respetuoso.,positivo,Aldo
Es increíble cómo tiene un gran dominio del tema porque es muy comprometido.,positivo,Omar
Valoro que fomenta la participación porque es muy inspirador.,positivo,Ulises
Me gusta mucho cómo usa buenos ejemplos porque es muy excelente.,positivo,Ulises
Nunca deja de sorprenderme cómo fomenta la participación porque es muy comprensivo.,positivo,David
Lo mejor de sus clases es que apoya el desarrollo personal porque es muy paciente.,positivo,Omar
Es muy admirable que hace las clases interesantes porque es muy inspirador.,positivo,Aldo
Nunca deja de sorprenderme cómo siempre está disponible para ayudar porque es muy inspirador.,positivo,Julián
Siempre me impresiona cómo explica muy bien porque es muy paciente.,positivo,Miguel
Es muy admirable que usa buenos ejemplos porque es muy comprensivo.,positivo,Aldo
Lo mejor de sus clases es que inspira a mejorar porque es muy respetuoso.,positivo,Aldo
Es increíble cómo apoya el desarrollo personal porque es muy respetuoso.,positivo,Julián
Nunca deja de sorprenderme cómo transmite confianza porque es muy claro.,positivo,David
Es motivador cuando tiene un gran dominio del tema porque es muy paciente.,positivo,Miguel
Me encanta que inspira a mejorar porque es muy claro.,positivo,Ulises
Una de las mejores cosas es que fomenta la participación porque es muy excelente.,positivo,Julián
Me encanta que usa buenos ejemplos porque es muy entusiasta.,positivo,David
Siempre me impresiona cómo transmite confianza porque es muy comprometido.,positivo,Aldo
Es increíble cómo explica muy bien porque es muy puntual.,positivo,Julián
Me encanta que hace las clases interesantes porque es muy respetuoso.,positivo,Ulises
Valoro que se preocupa por sus alumnos porque es muy comprensivo.,positivo,David
Es increíble cómo apoya el desarrollo personal porque es muy comprometido.,positivo,Miguel
Es motivador cuando motiva a aprender porque es muy amable.,positivo,Ulises
Lo mejor de sus clases es que apoya el desarrollo personal porque es muy creativo.,positivo,Julián
Es destacable cómo tiene un gran dominio del tema porque es muy organizado.,positivo,Aldo
Me gusta mucho cómo explica muy bien porque es muy entusiasta.,positivo,Miguel
Disfruto cuando inspira a mejorar porque es muy excelente.,positivo,Ulises
Lo mejor de sus clases es que tiene un gran dominio del tema porque es muy sabio.,positivo,Miguel
Es muy admirable que transmite confianza porque es muy respetuoso.,positivo,David
Es muy admirable que usa buenos ejemplos porque es muy organizado.,positivo,David
Nunca deja de sorprenderme cómo transmite confianza porque es muy amable.,positivo,Miguel
Me parece genial que transmite confianza porque es muy comprometido.,positivo,Aldo
Siempre me impresiona cómo explica muy bien porque es muy puntual.,positivo,Julián
Me ayuda mucho que hace las clases interesantes porque es muy claro.,positivo,David
Es muy admirable que inspira a mejorar porque es muy paciente.,positivo,David
Lo mejor de sus clases es que motiva a aprender porque es muy respetuoso.,positivo,Ulises
Es motivador cuando inspira a mejorar porque es muy paciente.,positivo,David
Siempre me impresiona cómo tiene un gran dominio del tema porque es muy dedicado.,positivo,Miguel
Siempre me impresiona cómo hace las clases interesantes porque es muy amable.,positivo,Miguel
Es destacable cómo hace las clases interesantes porque es muy paciente.,positivo,Omar
Me encanta que apoya el desarrollo personal porque es muy dedicado.,positivo,Julián
Es increíble cómo explica muy bien porque es muy excelente.,positivo,Omar
Me parece genial que explica muy bien porque es muy puntual.,positivo,Ulises
Es muy admirable que responde todas las dudas porque es muy excelente.,positivo,David
Me encanta que utiliza recursos útiles porque es muy organizado.,positivo,David
Una de las mejores cosas es que inspira a mejorar porque es muy entusiasta.,positivo,Ulises
Una de las mejores cosas es que mantiene la clase activa porque es muy sabio.,positivo,David
Es muy admirable que inspira a mejorar porque es muy excelente.,positivo,Ulises
Valoro que inspira a mejorar porque es muy dinámico.,positivo,Julián
Me gusta mucho cómo mantiene la clase activa porque es muy inspirador.,positivo,Miguel
Me gusta mucho cómo inspira a mejorar porque es muy paciente.,positivo,Ulises
Es increíble cómo hace las clases interesantes porque es muy comprometido.,positivo,Ulises
Una de las mejores cosas es que inspira a mejorar porque es muy comprensivo.,positivo,Julián
Una de las mejores cosas es que motiva a aprender porque es muy respetuoso.,positivo,David
Valoro que fomenta la participación porque es muy dedicado.,positivo,Omar
Es destacable cómo responde todas las dudas porque es muy dinámico.,positivo,Omar
Siempre me impresiona cómo utiliza recursos útiles porque es muy creativo.,positivo,David
Nunca deja de sorprenderme cómo siempre está disponible para ayudar porque es muy organizado.,positivo,Ulises
Me gusta mucho cómo responde todas las dudas porque es muy amable.,positivo,David
Lo mejor de sus clases es que utiliza recursos útiles porque es muy respetuoso.,positivo,Aldo
Siempre me impresiona cómo responde todas las dudas porque es muy claro.,positivo,Miguel
Durante las sesiones se comunica por correo institucional.,neutral,Miguel
Por lo general responde algunas preguntas.,neutral,Omar
Normalmente se comunica por correo institucional.,neutral,Miguel
Por lo general utiliza la plataforma académica.,neutral,Miguel
En el curso utiliza presentaciones en clase.,neutral,Omar
Durante las sesiones utiliza la plataforma académica.,neutral,Miguel
Durante la clase sigue los horarios establecidos.,neutral,Ulises
Normalmente presenta los temas según el programa.,neutral,Julián
En clase respeta el tiempo de clase.,neutral,Ulises
Durante el semestre mantiene la estructura de la clase.,neutral,Omar
En clase permite el uso de materiales de apoyo.,neutral,Julián
De manera constante se comunica por correo institucional.,neutral,Julián
En el curso responde algunas preguntas.,neutral,David
Durante el semestre explica los temas de forma adecuada.,neutral,Julián
En clase comparte información básica del curso.,neutral,Julián
Durante la clase responde algunas preguntas.,neutral,Miguel
Con frecuencia responde algunas preguntas.,neutral,Aldo
Con frecuencia realiza exámenes conforme a lo planeado.,neutral,David
Usualmente respeta el tiempo de clase.,neutral,Ulises
Normalmente utiliza presentaciones en clase.,neutral,Miguel
En sus explicaciones respeta el tiempo de clase.,neutral,Omar
De manera constante comparte información básica del curso.,neutral,Aldo
Por lo general se comunica por correo institucional.,neutral,Julián
Durante el semestre se comunica por correo institucional.,neutral,Miguel
Durante la clase presenta los temas según el programa.,neutral,Julián
Usualmente comparte información básica del curso.,neutral,David
Durante la materia asigna tareas moderadas.,neutral,Miguel
Durante la clase asigna tareas moderadas.,neutral,Julián
Durante la materia entrega retroalimentación ocasional.,neutral,Miguel
Durante el semestre entrega retroalimentación ocasional.,neutral,Julián
En sus clases presenta los temas según el programa.,neutral,Julián
Por lo general realiza exámenes conforme a lo planeado.,neutral,Ulises
De manera constante utiliza presentaciones en clase.,neutral,Miguel
Durante el semestre utiliza la plataforma académica.,neutral,Miguel
En sus clases mantiene la estructura de la clase.,neutral,Omar
Durante la materia responde algunas preguntas.,neutral,Miguel
Regularmente mantiene la estructura de la clase.,neutral,David
Con frecuencia utiliza la plataforma académica.,neutral,Omar
Durante la clase explica los temas de forma adecuada.,neutral,David
Por lo general comparte información básica del curso.,neutral,Ulises
Normalmente comparte información básica del curso.,neutral,Julián
Regularmente comparte información básica del curso.,neutral,Julián
Durante las sesiones asigna tareas moderadas.,neutral,Omar
Durante la clase realiza exámenes conforme a lo planeado.,neutral,Miguel
Con frecuencia respeta el tiempo de clase.,neutral,David
Durante las sesiones explica los temas de forma adecuada.,neutral,David
Por lo general sigue los horarios establecidos.,neutral,Omar
Durante la materia realiza exámenes conforme a lo planeado.,neutral,Miguel
Durante las sesiones comparte información básica del curso.,neutral,Aldo
Normalmente responde algunas preguntas.,neutral,Julián
En sus explicaciones responde algunas preguntas.,neutral,Julián
Durante la clase comparte información básica del curso.,neutral,Aldo
Por lo general entrega retroalimentación ocasional.,neutral,Omar
Con frecuencia se comunica por correo institucional.,neutral,Julián
En clase sigue los horarios establecidos.,neutral,Ulises
En el curso realiza exámenes conforme a lo planeado.,neutral,Aldo
La mayoría del tiempo utiliza presentaciones en clase.,neutral,Aldo
En sus clases se comunica por correo institucional.,neutral,David
Por lo general respeta el tiempo de clase.,neutral,Aldo
En clase entrega retroalimentación ocasional.,neutral,Ulises
Durante la clase entrega retroalimentación ocasional.,neutral,Miguel
Usualmente explica los temas de forma adecuada.,neutral,David
Durante la materia presenta los temas según el programa.,neutral,Aldo
En el curso se comunica por correo institucional.,neutral,Omar
Durante las sesiones realiza exámenes conforme a lo planeado.,neutral,Omar
De manera constante sigue los horarios establecidos.,neutral,Omar
Normalmente entrega retroalimentación ocasional.,neutral,Aldo
Durante la clase respeta el tiempo de clase.,neutral,Miguel
Normalmente explica los temas de forma adecuada.,neutral,David
Usualmente permite el uso de materiales de apoyo.,neutral,Ulises
En sus clases realiza exámenes conforme a lo planeado.,neutral,Miguel
En sus explicaciones utiliza la plataforma académica.,neutral,Omar
La mayoría del tiempo sigue los horarios establecidos.,neutral,David
Durante las sesiones respeta el tiempo de clase.,neutral,Omar
En el curso sigue los horarios establecidos.,neutral,Miguel
De manera constante explica los temas de forma adecuada.,neutral,Ulises
En sus explicaciones entrega retroalimentación ocasional.,neutral,David
Usualmente mantiene la estructura de la clase.,neutral,Miguel
Usualmente asigna tareas moderadas.,neutral,Aldo
Normalmente utiliza la plataforma académica.,neutral,Aldo
En el curso permite el uso de materiales de apoyo.,neutral,Julián
En el curso presenta los temas según el programa.,neutral,Omar
Durante la clase se comunica por correo institucional.,neutral,Omar
En sus explicaciones cumple con el temario.,neutral,Julián
Durante el semestre cumple con el temario.,neutral,Miguel
Por lo general mantiene la estructura de la clase.,neutral,Omar
En el curso mantiene la estructura de la clase.,neutral,David
Normalmente asigna tareas moderadas.,neutral,David
En sus explicaciones presenta los temas según el programa.,neutral,Aldo
En sus clases explica los temas de forma adecuada.,neutral,Ulises
La mayoría del tiempo respeta el tiempo de clase.,neutral,Ulises
Durante la materia sigue los horarios establecidos.,neutral,Julián
De manera constante respeta el tiempo de clase.,neutral,Aldo
La mayoría del tiempo comparte información básica del curso.,neutral,Miguel
Regularmente sigue los horarios establecidos.,neutral,Miguel
Durante la clase permite el uso de materiales de apoyo.,neutral,Julián
Usualmente presenta los temas según el programa.,neutral,Julián
Usualmente cumple con el temario.,neutral,David
Durante la materia mantiene la estructura de la clase.,neutral,Ulises
En sus clases respeta el tiempo de clase.,neutral,Omar
En clase cumple con el temario.,neutral,Omar
Por lo general cumple con el temario.,neutral,Julián
En el curso entrega retroalimentación ocasional.,neutral,David
Regularmente utiliza la plataforma académica.,neutral,Julián
En sus clases responde algunas preguntas.,neutral,Miguel
Regularmente entrega retroalimentación ocasional.,neutral,Aldo
Regularmente respeta el tiempo de clase.,neutral,Julián
Con frecuencia asigna tareas moderadas.,neutral,Omar
Durante las sesiones cumple con el temario.,neutral,David
En sus clases comparte información básica del curso.,neutral,Aldo
Durante la materia explica los temas de forma adecuada.,neutral,Julián
Normalmente realiza exámenes conforme a lo planeado.,neutral,Julián
Normalmente cumple con el temario.,neutral,Aldo
En clase explica los temas de forma adecuada.,neutral,Omar
Normalmente sigue los horarios establecidos.,neutral,Aldo
En sus explicaciones permite el uso de materiales de apoyo.,neutral,David
En sus clases permite el uso de materiales de apoyo.,neutral,Omar
Regularmente explica los temas de forma adecuada.,neutral,Omar
Durante las sesiones utiliza presentaciones en clase.,neutral,Julián
Durante el semestre utiliza presentaciones en clase.,neutral,Miguel
Usualmente utiliza la plataforma académica.,neutral,Miguel
En sus clases cumple con el temario.,neutral,Aldo
En sus explicaciones sigue los horarios establecidos.,neutral,Miguel
Con frecuencia explica los temas de forma adecuada.,neutral,Miguel
Usualmente responde algunas preguntas.,neutral,Ulises
Durante la clase utiliza presentaciones en clase.,neutral,Julián
De manera constante presenta los temas según el programa.,neutral,Julián
En sus explicaciones se comunica por correo institucional.,neutral,Omar
La mayoría del tiempo permite el uso de materiales de apoyo.,neutral,Aldo
Con frecuencia mantiene la estructura de la clase.,neutral,Aldo
De manera constante asigna tareas moderadas.,neutral,Ulises
En sus explicaciones asigna tareas moderadas.,neutral,David
Regularmente asigna tareas moderadas.,neutral,Aldo
En clase responde algunas preguntas.,neutral,David
Con frecuencia permite el uso de materiales de apoyo.,neutral,David
De manera constante responde algunas preguntas.,neutral,Julián
En sus explicaciones utiliza presentaciones en clase.,neutral,David
De manera constante mantiene la estructura de la clase.,neutral,Ulises
Con frecuencia cumple con el temario.,neutral,Julián
Durante el semestre responde algunas preguntas.,neutral,Ulises
Regularmente responde algunas preguntas.,neutral,Aldo
En el curso utiliza la plataforma académica.,neutral,Omar
Durante la materia respeta el tiempo de clase.,neutral,Julián
Durante las sesiones permite el uso de materiales de apoyo.,neutral,Julián
Durante el semestre asigna tareas moderadas.,neutral,Aldo
Normalmente mantiene la estructura de la clase.,neutral,David
Usualmente entrega retroalimentación ocasional.,neutral,Miguel
Con frecuencia sigue los horarios establecidos.,neutral,Aldo
Con frecuencia presenta los temas según el programa.,neutral,Aldo
Durante el semestre presenta los temas según el programa.,neutral,Omar
La mayoría del tiempo responde algunas preguntas.,neutral,Ulises
Durante el semestre permite el uso de materiales de apoyo.,neutral,David
Durante la materia utiliza la plataforma académica.,neutral,David
Usualmente se comunica por correo institucional.,neutral,David
Durante la clase mantiene la estructura de la clase.,neutral,David
En el curso comparte información básica del curso.,neutral,Ulises
En clase asigna tareas moderadas.,neutral,Aldo
De manera constante realiza exámenes conforme a lo planeado.,neutral,Omar
Durante la materia cumple con el temario.,neutral,Miguel
En sus explicaciones realiza exámenes conforme a lo planeado.,neutral,Ulises
Durante la materia se comunica por correo institucional.,neutral,Ulises
Por lo general permite el uso de materiales de apoyo.,neutral,Omar
Normalmente permite el uso de materiales de apoyo.,neutral,Miguel
Regularmente cumple con el temario.,neutral,Ulises
Durante las sesiones sigue los horarios establecidos.,neutral,Omar
La mayoría del tiempo mantiene la estructura de la clase.,neutral,Aldo
Durante las sesiones presenta los temas según el programa.,neutral,Miguel
La mayoría del tiempo explica los temas de forma adecuada.,neutral,Omar
Durante el semestre comparte información básica del curso.,neutral,Aldo
Por lo general asigna tareas moderadas.,neutral,Julián
La mayoría del tiempo entrega retroalimentación ocasional.,neutral,Ulises
La mayoría del tiempo presenta los temas según el programa.,neutral,Julián
Usualmente utiliza presentaciones en clase.,neutral,Ulises
En sus explicaciones mantiene la estructura de la clase.,neutral,Aldo
En clase presenta los temas según el programa.,neutral,Julián
Regularmente permite el uso de materiales de apoyo.,neutral,David
En sus explicaciones comparte información básica del curso.,neutral,Ulises
De manera constante utiliza la plataforma académica.,neutral,David
Regularmente realiza exámenes conforme a lo planeado.,neutral,Aldo
En clase utiliza presentaciones en clase.,neutral,Julián
Regularmente se comunica por correo institucional.,neutral,Ulises
Usualmente sigue los horarios establecidos.,neutral,David
En clase se comunica por correo institucional.,neutral,Miguel
En el curso respeta el tiempo de clase.,neutral,David
Durante el semestre realiza exámenes conforme a lo planeado.,neutral,Miguel
En el curso explica los temas de forma adecuada.,neutral,Julián
La mayoría del tiempo se comunica por correo institucional.,neutral,Aldo
De manera constante cumple con el temario.,neutral,Ulises
Normalmente respeta el tiempo de clase.,neutral,Omar
Con frecuencia entrega retroalimentación ocasional.,neutral,Omar
En sus clases utiliza la plataforma académica.,neutral,Julián
En sus clases entrega retroalimentación ocasional.,neutral,Aldo
Regularmente presenta los temas según el programa.,neutral,Miguel
Durante las sesiones entrega retroalimentación ocasional.,neutral,Aldo
Por lo general presenta los temas según el programa.,neutral,David
Con frecuencia utiliza presentaciones en clase.,neutral,Aldo
Durante la materia comparte información básica del curso.,neutral,Omar
Durante la clase cumple con el temario.,neutral,David
En el curso cumple con el temario.,neutral,Miguel
La mayoría del tiempo asigna tareas moderadas.,neutral,Omar
Durante las sesiones responde algunas preguntas.,neutral,Miguel
En clase realiza exámenes conforme a lo planeado.,neutral,Aldo
En clase mantiene la estructura de la clase.,neutral,Ulises
Durante el semestre respeta el tiempo de clase.,neutral,Ulises
La mayoría del tiempo cumple con el temario.,neutral,Omar
La mayoría del tiempo utiliza la plataforma académica.,neutral,Miguel
Durante la materia permite el uso de materiales de apoyo.,neutral,Aldo
En sus clases utiliza presentaciones en clase.,neutral,Julián
Por lo general utiliza presentaciones en clase.,neutral,Omar
La mayoría del tiempo realiza exámenes conforme a lo planeado.,neutral,Ulises
En sus clases asigna tareas moderadas.,neutral,David
Durante el semestre sigue los horarios establecidos.,neutral,Omar
De manera constante entrega retroalimentación ocasional.,neutral,Omar
Por lo general explica los temas de forma adecuada.,neutral,Ulises
En el curso asigna tareas moderadas.,neutral,Ulises
De manera constante permite el uso de materiales de apoyo.,neutral,Julián
Durante las sesiones mantiene la estructura de la clase.,neutral,Omar
Con frecuencia comparte información básica del curso.,neutral,Ulises
Usualmente realiza exámenes conforme a lo planeado.,neutral,Ulises
En clase utiliza la plataforma académica.,neutral,Ulises
Durante la materia utiliza presentaciones en clase.,neutral,Aldo
Regularmente utiliza presentaciones en clase.,neutral,Miguel
En sus clases sigue los horarios establecidos.,neutral,Julián
Durante la clase utiliza la plataforma académica.,neutral,Ulises
En sus explicaciones explica los temas de forma adecuada.,neutral,Ulises
En la materia entrega calificaciones tarde.,negativo,Miguel
Con frecuencia interrumpe frecuentemente.,negativo,Julián
En muchas clases entrega calificaciones tarde.,negativo,Ulises
A veces es difícil entender sus clases.,negativo,Julián
En varias oportunidades cambia las fechas sin avisar.,negativo,Julián
En varias ocasiones no utiliza ejemplos prácticos.,negativo,David
Durante el curso no utiliza ejemplos prácticos.,negativo,Ulises
A veces interrumpe frecuentemente.,negativo,Ulises
Usualmente cambia las fechas sin avisar.,negativo,Aldo
Con frecuencia hace comentarios innecesarios.,negativo,David
A lo largo del semestre llega tarde con frecuencia.,negativo,Ulises
Usualmente hace comentarios innecesarios.,negativo,Julián
Durante las sesiones no explica claramente los temas.,negativo,Julián
A veces omite parte del contenido.,negativo,Aldo
En la materia cambia las fechas sin avisar.,negativo,Julián
Con frecuencia deja tareas sin explicar.,negativo,Julián
En la materia hace comentarios innecesarios.,negativo,Julián
Usualmente llega tarde con frecuencia.,negativo,Aldo
Durante las sesiones se enfoca demasiado en teoría sin práctica.,negativo,Miguel
En varias ocasiones no sigue una estructura en clase.,negativo,David
En muchas clases hace comentarios innecesarios.,negativo,Aldo
Durante las sesiones hace comentarios innecesarios.,negativo,Miguel
A veces no proporciona retroalimentación.,negativo,Julián
Usualmente omite parte del contenido.,negativo,Omar
Con regularidad no respeta el horario de clase.,negativo,Omar
En repetidas ocasiones interrumpe frecuentemente.,negativo,Omar
En repetidas ocasiones se enfoca demasiado en teoría sin práctica.,negativo,Aldo
En la materia no proporciona retroalimentación.,negativo,Miguel
En la materia omite parte del contenido.,negativo,Julián
En la materia es difícil entender sus clases.,negativo,David
Con regularidad hace comentarios innecesarios.,negativo,Ulises
Con frecuencia es difícil entender sus clases.,negativo,Julián
En muchas clases cambia las fechas sin avisar.,negativo,Ulises
Durante las explicaciones omite parte del contenido.,negativo,David
En muchas clases no responde las dudas.,negativo,Ulises
En varias oportunidades no utiliza ejemplos prácticos.,negativo,Aldo
Durante las sesiones omite parte del contenido.,negativo,Julián
A veces llega tarde con frecuencia.,negativo,Miguel
En sus clases hace comentarios innecesarios.,negativo,Miguel
Durante las explicaciones se enfoca demasiado en teoría sin práctica.,negativo,Omar
A veces no explica claramente los temas.,negativo,Julián
En varias oportunidades llega tarde con frecuencia.,negativo,Miguel
En varias ocasiones cambia las fechas sin avisar.,negativo,Miguel
Durante el curso cambia las fechas sin avisar.,negativo,Julián
Usualmente se enfoca demasiado en teoría sin práctica.,negativo,David
En varias oportunidades se enfoca demasiado en teoría sin práctica.,negativo,David
En repetidas ocasiones hace comentarios innecesarios.,negativo,Julián
Con frecuencia llega tarde con frecuencia.,negativo,Aldo
Durante las sesiones cambia las fechas sin avisar.,negativo,Julián
Durante las explicaciones hace comentarios innecesarios.,negativo,Miguel
A veces se enfoca demasiado en teoría sin práctica.,negativo,Ulises
A veces deja tareas sin explicar.,negativo,Miguel
Usualmente deja tareas sin explicar.,negativo,Julián
Usualmente no proporciona retroalimentación.,negativo,David
A menudo no utiliza ejemplos prácticos.,negativo,Aldo
Durante el curso es difícil entender sus clases.,negativo,Aldo
Con regularidad llega tarde con frecuencia.,negativo,Omar
Durante el curso no explica claramente los temas.,negativo,Aldo
Durante las explicaciones no sigue una estructura en clase.,negativo,Ulises
Durante las explicaciones no utiliza ejemplos prácticos.,negativo,Aldo
En repetidas ocasiones es difícil entender sus clases.,negativo,David
Usualmente no respeta el horario de clase.,negativo,Julián
A veces no utiliza ejemplos prácticos.,negativo,Ulises
A lo largo del semestre es difícil entender sus clases.,negativo,Omar
A menudo llega tarde con frecuencia.,negativo,Julián
A menudo no responde las dudas.,negativo,Aldo
En sus clases entrega calificaciones tarde.,negativo,Miguel
En muchas clases no sigue una estructura en clase.,negativo,David
A veces cambia las fechas sin avisar.,negativo,David
Durante el curso no responde las dudas.,negativo,David
En la materia no sigue una estructura en clase.,negativo,David
A veces no respeta el horario de clase.,negativo,Aldo
Con regularidad interrumpe frecuentemente.,negativo,Omar
A lo largo del semestre no proporciona retroalimentación.,negativo,Aldo
A lo largo del semestre no responde las dudas.,negativo,Julián
Con frecuencia no explica claramente los temas.,negativo,Aldo
En repetidas ocasiones no proporciona retroalimentación.,negativo,Julián
En varias oportunidades es difícil entender sus clases.,negativo,David
En sus clases se enfoca demasiado en teoría sin práctica.,negativo,Miguel
A veces no responde las dudas.,negativo,Julián
En muchas clases interrumpe frecuentemente.,negativo,Aldo
Con frecuencia se enfoca demasiado en teoría sin práctica.,negativo,Miguel
Durante las explicaciones es difícil entender sus clases.,negativo,Ulises
En varias oportunidades no sigue una estructura en clase.,negativo,Aldo
A lo largo del semestre no sigue una estructura en clase.,negativo,Miguel
En repetidas ocasiones entrega calificaciones tarde.,negativo,Aldo
A menudo no respeta el horario de clase.,negativo,Omar
A veces no sigue una estructura en clase.,negativo,Aldo
A menudo deja tareas sin explicar.,negativo,Julián
Con regularidad entrega calificaciones tarde.,negativo,Julián
A lo largo del semestre hace comentarios innecesarios.,negativo,Julián
A lo largo del semestre omite parte del contenido.,negativo,Omar
En varias oportunidades interrumpe frecuentemente.,negativo,Miguel
En repetidas ocasiones no responde las dudas.,negativo,Aldo
En sus clases no proporciona retroalimentación.,negativo,Miguel
En varias ocasiones no respeta el horario de clase.,negativo,Miguel
Usualmente es difícil entender sus clases.,negativo,Julián
En varias oportunidades entrega calificaciones tarde.,negativo,Julián
Con frecuencia no utiliza ejemplos prácticos.,negativo,Julián
A lo largo del semestre deja tareas sin explicar.,negativo,Ulises
Con frecuencia cambia las fechas sin avisar.,negativo,Ulises
Durante el curso no sigue una estructura en clase.,negativo,Julián
En muchas clases omite parte del contenido.,negativo,Ulises
Durante las sesiones no proporciona retroalimentación.,negativo,David
Durante las explicaciones llega tarde con frecuencia.,negativo,Omar
En sus clases llega tarde con frecuencia.,negativo,Omar
En repetidas ocasiones no sigue una estructura en clase.,negativo,Aldo
En varias oportunidades no explica claramente los temas.,negativo,David
Durante el curso llega tarde con frecuencia.,negativo,Omar
En muchas clases no respeta el horario de clase.,negativo,Miguel
En varias ocasiones omite parte del contenido.,negativo,David
En varias ocasiones deja tareas sin explicar.,negativo,Julián
En varias ocasiones hace comentarios innecesarios.,negativo,David
Durante las explicaciones no explica claramente los temas.,negativo,Miguel
En sus clases no explica claramente los temas.,negativo,Ulises
En la materia llega tarde con frecuencia.,negativo,Aldo
Con regularidad no explica claramente los temas.,negativo,Julián
Durante las sesiones llega tarde con frecuencia.,negativo,David
